date,India,Brazil,China,South Africa,Russia,United States
2000,13.24989,48.95297,31.4685,101.71578,177.75335,350.20416
2001,13.52257,47.78927,32.42302,101.96284,175.66948,337.46887
2002,13.13655,47.73233,34.03191,98.43929,183.21087,339.48746
2003,13.35042,47.78749,38.94003,104.71121,189.40043,337.61021
2004,14.26428,48.93927,44.86047,110.88106,195.45684,342.0731
2005,14.96965,50.25623,49.46962,107.83603,194.62656,339.34309
2006,15.91784,51.51575,53.96891,110.32818,193.99994,333.899
2007,16.73585,53.22689,57.12489,112.14774,200.79186,336.34413
2008,17.24824,52.68423,59.98329,118.30442,208.07238,326.51774
2009,18.71032,53.73497,65.73054,114.43677,188.46397,308.36043
2010,19.36064,57.69613,71.97437,114.05031,208.55993,316.86657
